,ATH,DB,DL,FB,LB,OL,QB,RB,ST,TE,WR
ATH,,1.0,0.9,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0
DB,1.0,,1.0,0.71,0.83,1.0,1.0,1.0,< 0.001,0.48,1.0
DL,0.9,1.0,,0.36,0.07,1.0,1.0,1.0,< 0.001,0.07,1.0
FB,1.0,0.71,0.36,,1.0,0.45,0.32,1.0,1.0,1.0,1.0
LB,1.0,0.83,0.07,1.0,,0.23,0.41,1.0,0.02,1.0,1.0
OL,1.0,1.0,1.0,0.45,0.23,,1.0,1.0,< 0.001,0.16,1.0
QB,1.0,1.0,1.0,0.32,0.41,1.0,,1.0,< 0.001,0.21,1.0
RB,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,< 0.001,1.0,1.0
ST,0.01,< 0.001,< 0.001,1.0,0.02,< 0.001,< 0.001,< 0.001,,0.11,< 0.001
TE,1.0,0.48,0.07,1.0,1.0,0.16,0.21,1.0,0.11,,1.0
WR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,< 0.001,1.0,
