id,name,team,year,three_star,four_star,five_star,avg,points,nat_rank,drafted
19,Fisher DeBerry,Air Force,2000,,,,,,,
39,Lee Owens,Akron,2000,,,,,,,
59,Mike DuBose,Alabama,2000,,,,,,,
79,Jerry Moore,Appalachian State,2000,,,,,,,
99,Bruce Snyder,Arizona State,2000,,,,,,,
119,Dick Tomey,Arizona,2000,,,,,,,
139,Houston Nutt,Arkansas,2000,,,,,,,
159,Joe Hollis,Arkansas State,2000,,,,,,,
179,Todd Berry,Army,2000,,,,,,,
199,Tommy Tuberville,Auburn,2000,,,,,,,
219,Bill Lynch,Ball State,2000,,,,,,,
239,Kevin Steele,Baylor,2000,,,,,,,
259,Dirk Koetter,Boise State,2000,,,,,,,
279,Tom O'Brien,Boston College,2000,,,,,,,
299,Gary Blackney,Bowling Green,2000,,,,,,,
319,Craig Cirbus,Buffalo,2000,,,,,,,
339,LaVell Edwards,BYU,2000,,,,,,,
359,Tom Holmoe,California,2000,,,,,,,
379,Mike Kruczek,Central Florida,2000,,,,,,,
399,Mike DeBord,Central Michigan,2000,,,,,,,
428,Rick Minter,Cincinnati,2000,,,,,,,
448,Tommy Bowden,Clemson,2000,,,,,,,
485,Gary Barnett,Colorado,2000,,,,,,,
505,Sonny Lubick,Colorado State,2000,,,,,,,
525,Randy Edsall,Connecticut,2000,,,,,,,
545,Carl Franks,Duke,2000,,,,,,,
565,Steve Logan,East Carolina,2000,,,,,,,
585,Jeff Woodruff,Eastern Michigan,2000,,,,,,,
624,Steve Spurrier,Florida,2000,,,,,,,
662,Bobby Bowden,Florida State,2000,,,,,,,
682,Pat Hill,Fresno State,2000,,,,,,,
702,Jim Donnan,Georgia,2000,,,,,,,
722,Paul Johnson,Georgia Southern,2000,,,,,,,
754,George O'Leary,Georgia Tech,2000,,,,,,,
774,June Jones,Hawaii,2000,,,,,,,
794,Dana Dimel,Houston,2000,,,,,,,
814,Ron Turner,Illinois,2000,,,,,,,
834,Cam Cameron,Indiana,2000,,,,,,,
854,Kirk Ferentz,Iowa,2000,,,,,,,
874,Dan McCarney,Iowa State,2000,,,,,,,
894,Terry Allen,Kansas,2000,,,,,,,
914,Bill Snyder,Kansas State,2000,,,,,,,
934,Dean Pees,Kent State,2000,,,,,,,
954,Hal Mumme,Kentucky,2000,,,,,,,
974,Ken Karcher,Liberty,2000,,,,,,,
994,Jack Bicknell Jr,Louisiana Tech,2000,,,,,,,
1014,Jerry Baldwin,Louisiana-Lafayette,2000,,,,,,,
1034,Bobby Keasler,Louisiana-Monroe,2000,,,,,,,
1054,John L Smith,Louisville,2000,,,,,,,
1074,Nick Saban,LSU,2000,,,,,,,
1094,Bob Pruett,Marshall,2000,,,,,,,
1114,Ron Vanderlinden,Maryland,2000,,,,,,,
1134,Mark Whipple,Massachusetts,2000,,,,,,,
1154,Rip Scherer,Memphis,2000,,,,,,,
1174,Butch Davis,Miami,2000,,,,,,,
1194,Terry Hoeppner,Miami OH,2000,,,,,,,
1214,Bobby Williams,Michigan State,2000,,,,,,,
1234,Lloyd Carr,Michigan,2000,,,,,,,
