id,name,conference,nat_rank,commits,five_star,four_star,three_star,avg,points,year
0,Tennessee,SEC,1,27,5,6,0,81.29,252.66,2000
1,Florida,SEC,2,30,3,7,0,79.33,239.17,2000
2,Florida State,ACC,3,22,5,4,0,81.62,225.16,2000
3,Alabama,SEC,4,31,3,5,0,77.08,199.31,2000
4,Penn State,Big-Ten,5,30,0,8,0,77.25,196.61,2000
5,Texas,Big-12,6,23,4,3,0,78.72,185.94,2000
6,Miami,ACC,7,19,3,3,0,78.95,161.25,2000
7,Michigan State,Big-Ten,8,23,2,3,0,76.17,136.95,2000
8,Ohio State,Big-Ten,9,28,3,1,0,74.09,112.1,2000
9,Notre Dame,Ind.,10,18,0,4,0,76.06,106.88,2000
10,Stanford,Pac-12,11,14,1,2,0,76.13,85.01,2000
11,USC,Pac-12,12,20,1,2,0,74.24,83.99,2000
12,Colorado,Pac-12,13,21,1,2,0,74,83.19,2000
13,UCLA,Pac-12,14,14,1,2,0,75.89,81.61,2000
14,Auburn,SEC,15,34,1,2,0,72.38,80.07,2000
15,Arkansas,SEC,16,25,0,3,0,73.23,79.86,2000
16,Nebraska,Big-Ten,17,21,1,1,0,72.66,55.63,2000
17,Syracuse,ACC,18,28,1,1,0,71.98,55.14,2000
18,Georgia Tech,ACC,19,21,0,2,0,72.6,54.41,2000
19,Arizona State,Pac-12,20,29,0,2,0,71.87,54.19,2000
20,LSU,SEC,21,26,0,2,0,72.08,54.01,2000
21,Kentucky,SEC,22,19,1,0,0,71.55,29.46,2000
22,Georgia,SEC,23,17,1,0,0,71.7,28.9,2000
23,Oklahoma,Big-12,24,27,1,0,0,71.06,28.69,2000
24,TCU,Big-12,25,18,1,0,0,71.59,28.69,2000
25,Virginia,ACC,26,22,1,0,0,71.29,28.47,2000
26,Michigan,Big-Ten,27,21,0,1,0,71.33,27.91,2000
27,Kansas State,Big-12,28,17,0,1,0,71.63,27.63,2000
28,Washington,Pac-12,29,27,0,1,0,71.02,27.47,2000
29,Iowa,Big-Ten,30,19,0,1,0,71.44,27.45,2000
30,Texas A&M,SEC,31,22,0,1,0,71.25,27.41,2000
31,Boston College,ACC,32,19,0,1,0,71.44,27.33,2000
32,Clemson,ACC,33,12,0,1,0,72.26,27.15,2000
33,Wisconsin,Big-Ten,34,25,0,1,0,71.08,27.03,2000
34,Maryland,Big-Ten,35,25,0,1,0,71.06,26.47,2000
35,Vanderbilt,SEC,36,18,0,1,0,71.47,26.39,2000
36,Virginia Tech,ACC,37,23,0,1,0,71.14,26.29,2000
37,Indiana,Big-Ten,38,23,0,1,0,71.14,26.27,2000
38,Arizona,Pac-12,39,1,0,1,0,96.22,26.22,2000
39,Oklahoma State,Big-12,40,29,0,1,0,70.9,26.18,2000
40,Ole Miss,SEC,41,25,0,1,0,71.04,26.1,2000
41,Pittsburgh,ACC,42,21,0,1,0,71.24,26.02,2000
42,Wyoming,M-West,43,22,0,0,0,70,0,2000
43,Minnesota,Big-Ten,44,24,0,0,0,70,0,2000
44,Oregon State,Pac-12,44,19,0,0,0,70,0,2000
45,Tulane,AAC,44,6,0,0,0,70,0,2000
46,Duke,ACC,44,24,0,0,0,70,0,2000
47,Fresno State,M-West,44,22,0,0,0,70,0,2000
48,Missouri,SEC,44,28,0,0,0,70,0,2000
49,Temple,AAC,44,18,0,0,0,70,0,2000
50,Nevada,M-West,44,23,0,0,0,70,0,2000
51,Baylor,Big-12,44,23,0,0,0,70,0,2000
52,Memphis,AAC,44,24,0,0,0,70,0,2000
53,UTEP,C-USA,44,21,0,0,0,70,0,2000
54,Louisville,ACC,44,23,0,0,0,70,0,2000
55,Purdue,Big-Ten,44,22,0,0,0,70,0,2000
56,San Jose State,M-West,44,24,0,0,0,70,0,2000
57,Washington State,Pac-12,44,29,0,0,0,70,0,2000
58,Illinois,Big-Ten,44,23,0,0,0,70,0,2000
59,South Carolina,SEC,44,23,0,0,0,70,0,2000
60,Miami (OH),MAC,44,1,0,0,0,70,0,2000
61,BYU,Ind.,44,24,0,0,0,70,0,2000
62,Mississippi State,SEC,44,25,0,0,0,70,0,2000
63,Idaho State,,44,1,0,0,0,70,0,2000
64,Rice,C-USA,44,16,0,0,0,70,0,2000
65,UAB,C-USA,44,2,0,0,0,70,0,2000
66,Louisiana Tech,C-USA,44,2,0,0,0,70,0,2000
67,New Mexico,M-West,44,24,0,0,0,70,0,2000
68,SMU,AAC,44,17,0,0,0,70,0,2000
69,Wake Forest,ACC,44,1,0,0,0,70,0,2000
70,Hawaii,M-West,44,21,0,0,0,70,0,2000
71,UCF,AAC,44,25,0,0,0,70,0,2000
