Global,Sports247,FootballDB,SportsReference,ProFootballReference
Alabama,alabama,alabama,alabama,alabama
American International,american international,,alliant-international,usinternational
Arizona,arizona,arizona,arizona,arizona
Arizona State,arizona state,arizona-state,arizona-state,arizonast
Arkansas,arkansas,arkansas,arkansas,arkansas
Auburn,auburn,auburn,auburn,auburn
Baylor,baylor,baylor,baylor,baylor
Boise State,boise state,boise-state,boise-state,boisest
Boston College,boston college,boston-college,boston-college,bostoncol
Brigham Young,brigham young,byu,brigham-young,byu
California,california,california,california,california
Cincinnati,cincinnati,cincinnati,cincinnati,cincinnati
Clemson,clemson,clemson,clemson,clemson
Colorado,colorado,colorado,colorado,colorado
Colorado State,colorado state,colorado-state,colorado-state,coloradost
Connecticut,connecticut,connecticut,connecticut,connecticut
Duke,duke,duke,duke,duke
FIU,fiu,fiu,florida-international,floridainternational
Florida,florida,florida,florida,florida
Florida State,florida state,florida-state,florida-state,floridast
Fresno State,fresno state,fresno-state,fresno-state,fresnost
Georgia,georgia,georgia,georgia,georgia
Georgia Tech,georgia tech,georgia-tech,georgia-tech,georgiatech
Hawaii,hawaii,hawaii,hawaii,hawaii
Houston,houston,houston,houston,houston
Illinois,illinois,illinois,illinois,illinois
Indiana,indiana,indiana,indiana,indiana
Iowa,iowa,iowa,iowa,iowa
Iowa State,iowa state,iowa-state,iowa-state,iowast
Jacksonville State,jacksonville state,,jackson-state,jacksonvillest
Kansas,kansas,kansas,kansas,kansas
Kansas State,kansas state,kansas-state,kansas-state,kansasst
Kentucky,kentucky,kentucky,kentucky,kentucky
Louisiana Tech,louisiana tech,louisiana-tech,louisiana-tech,louisianatech
Louisville,louisville,louisville,louisville,louisville
LSU,lsu,lsu,louisiana-state,lsu
Marshall,marshall,marshall,marshall,marshall
Maryland,maryland,maryland,maryland,maryland
Memphis,memphis,memphis,memphis,memphis
Miami,miami,miami,miami-fl,miami(fl)
Michigan,michigan,michigan,michigan,michigan
Michigan State,michigan state,michigan-state,michigan-state,michiganst
Middle Tennessee State,middle tennessee state,middle-tennessee-state,middle-tennessee-state,middletennst
Minnesota,minnesota,minnesota,minnesota,minnesota
Mississippi State,mississippi state,mississippi-state,mississippi-state,mississippist
Missouri,missouri,missouri,missouri,missouri
NC State,nc state,north-carolina-state,north-carolina-state,nocarolinast
Nebraska,nebraska,nebraska,nebraska,nebraska
North Carolina,north carolina,north-carolina,north-carolina,nocarolina
North Texas,north texas,north-texas,north-texas,notexas
Northwestern,northwestern,northwestern,northwestern,northwestern
Notre Dame,notre dame,notre-dame,notre-dame,notredame
Ohio State,ohio state,ohio-state,ohio-state,ohiost
Oklahoma,oklahoma,oklahoma,oklahoma,oklahoma
Oklahoma State,oklahoma state,oklahoma-state,oklahoma-state,oklahomast
Ole Miss,ole miss,ole-miss,mississippi,mississippi
Oregon,oregon,oregon,oregon,oregon
Oregon State,oregon state,oregon-state,oregon-state,oregonst
Penn State,penn state,penn-state,penn-state,pennst
Pittsburgh,pittsburgh,pittsburgh,pittsburgh,pittsburgh
Purdue,purdue,purdue,purdue,purdue
Rutgers,rutgers,rutgers,rutgers,rutgers
San Diego State,san diego state,san-diego-state,san-diego-state,sandiegost
San Jose State,san jose state,san-jose-state,san-jose-state,sanjosest
SMU,smu,smu,southern-methodist,smu
South Carolina,south carolina,south-carolina,south-carolina,socarolina
South Carolina State,south carolina state,south-carolina-state,south-carolina-state,socarolinast
Southern Miss,southern miss,southern-mississippi,southern-mississippi,somississippi
Stanford,stanford,stanford,stanford,stanford
Syracuse,syracuse,syracuse,syracuse,syracuse
TCU,tcu,tcu,texas-christian,tcu
Temple,temple,temple,temple,temple
Tennessee,tennessee,tennessee,tennessee,tennessee
Texas,texas,texas,texas,texas
Texas A&M,texas a&m,texas-am,texas-am,texasam
Texas Tech,texas tech,texas-tech,texas-tech,texastech
Toledo,toledo,toledo,toledo,toledo
Tulane,tulane,tulane,tulane,tulane
Tulsa,tulsa,tulsa,tulsa,tulsa
UAB,uab,uab,alabama-birmingham,alabirmingham
UCF,ucf,ucf,central-florida,centralforida
UCLA,ucla,ucla,ucla,ucla
UNLV,unlv,unlv,nevada-las-vegas,unlv
USC,usc,usc,southern-california,usc
USF,usf,south-florida,south-florida,soflorida
Utah,utah,utah,utah,utah
Vanderbilt,vanderbilt,vanderbilt,vanderbilt,vanderbilt
Virginia,virginia,virginia,virginia,virginia
Virginia Tech,virginia tech,virginia-tech,virginia-tech,virginiatech
Wake Forest,wake forest,wake-forest,wake-forest,wakeforest
Washington,washington,washington,washington,washington
Washington State,washington state,washington-state,washington-state,washingtonst
West Virginia,west virginia,west-virginia,west-virginia,westvirginia
Wisconsin,wisconsin,wisconsin,wisconsin,wisconsin
